,t,i,Ia_1,Ia_2,Ia_3,Ia_4,Ia_5,Ia_6,Im_1,Im_2,Im_3,Im_4,Im_5,Im_6,Ip_1,Ip_2,Ip_3,Ip_4,Ip_5,Ip_6,y
4,10,4,2.831852787960011,13.579481721495295,2.7707551212205015,9.263398537732524,14.468676116658173,7.236886912146213,2.4246473770995682,11.630181051815676,2.37246582462087,7.932590807371671,12.390948038577578,6.195540410330129,7.003412988649618,32.91433665381078,6.876553231551723,22.76819900041104,35.301246653983945,18.02336006147263,2.0888854160121916e-05
5,10,5,8.118783140845158,6.3357505879216145,3.575741249357704,24.07455486047094,0.5211861238435488,88.12804081678848,6.95134518693363,5.426269422347447,3.061737158515628,20.615931809459095,0.4463428531334539,75.4469214168929,20.078441768713663,15.356773703324276,8.874394873492935,59.17204724343929,1.2716104612537587,219.48158516713386,5.075460519805544e-05
0,11,0,98.25980871439438,7.53708783913527,26.815684264766833,36.38439182083713,0.07794154587258316,5.558982190106175,84.18989078917271,6.458238032508228,22.977123390136995,31.176194874912042,0.06678490939513763,4.762859368441325,242.52246098894588,18.225181266395165,66.42156915921352,89.23717709436526,0.18973982325137864,13.819112089412004,9.204870080977149e-05
1,11,1,4.461864190289573,169.26953705937814,2.1479089362665467,33.84483370565663,0.2580588933945611,2.1963676915453516,3.8229655014743624,145.04049645086232,1.8404441285960027,29.000158538097715,0.2211200665963139,1.8818175843119263,11.012664264111855,409.30503420269264,5.320299886785741,83.00859978622378,0.628215007451553,5.459965562229763,5.0063007258348136e-05
2,11,2,7.127073738137284,4.001770256275385,88.51298340530742,17.43666763365709,0.15642028321519022,3.5983675873391574,6.106541092545998,3.428961611969619,75.84269419539204,14.940718283619715,0.1340301160970805,3.0830317832204774,17.590869402634304,9.676547476121112,219.2437526745718,42.765562915610786,0.3807873780011946,8.945206753288248,4.8787496631104194e-05
3,11,3,21.339119073492164,25.827534552105355,4.7970250276464474,150.21623003955662,0.14977529510056395,8.854747327755708,18.283549783374216,22.130611914092295,4.110349558024457,128.71372109635783,0.12833629870869342,7.586625540956546,52.6686927315516,62.452701749354844,11.8820734345735,368.4237018031158,0.36461091067223184,22.01207733017407,8.044143283786311e-05
4,11,4,2.4323542679909487,13.103748008596783,2.3233229083296996,9.623725715349396,16.574752308819843,5.977715434081371,2.0840630860371023,11.228093073044635,1.9907482730158712,8.246149882120854,14.202224485013218,5.121624244050144,6.003477421625741,31.685736961404533,5.754794534091596,23.603365976187757,40.34934819809763,14.860043942792489,2.281584498890663e-05
5,11,5,9.708694498685011,5.98285054084692,3.413131445609817,26.153742697600798,0.4047772907531191,99.4569421495555,8.318497056365564,5.126472416187605,2.9245549581434607,22.409998855106608,0.3468370351846654,85.21333806692583,23.96276273704978,14.466931781067773,8.454214486032251,64.14525712780122,0.9853842484626012,247.2406970616004,5.604327559627723e-05
0,12,0,108.25514222274761,8.217711787666564,29.59732301787832,39.95596897954538,0.08526928556050006,6.14708703079091,92.81604046721922,7.04470348785805,25.377818447645797,34.256695532922755,0.07310197486714003,5.270669620534866,266.8019030851752,19.83821080968856,73.20484777316048,97.84642427717458,0.20725346376246523,15.25981756104948,0.00010125603873838208
1,12,1,4.915740716556303,184.5551358394815,2.3707153609052667,37.16712188896977,0.2823205163041013,2.4287293770388443,4.214668974665791,158.21146357332736,2.032737352082721,31.8656463828287,0.24203541933862283,2.0824546781164037,12.115165629286045,445.5307980366589,5.863633579419711,91.01693865493075,0.6862014207181004,6.029191877897581,5.4487421664291335e-05
